Firmenname,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Begründung,Zertifizierung,Bemerkung
Enspire Energie - eine Marke der Stadtwerke Konstanz GmbH,Max-Stromeyer-Straße 21-29,78467,Konstanz,https://www.enspire-energie.de,enspire,"Folgende Kriterien werden nicht erfüllt:
    ### Die Anlagenbetreiber, von denen der Anbieter Strom kauft, investieren nicht neu in Kohle- und Atom. Die Anlagen gehören zu max. 25% Kohle- oder Atomkonzernen. ##
Enspire bezieht Strom von Anlagen von dem Kraftwerke „Bavona, Peccia, Cavergno“, Verbano, der Maggia Kraftwerke AG. Maggia Kraftwerke AG gehört mit 30% der Axpo Power AG / Axpo Holding und 10% der BKW Energie AG. Axpo Power ist Eigentümerin von und hält Anteile an Atomkraftwerken. Die BKW Energie AG ist im Besitz eines Kernkraftwerkes und beteiligt an Kohlekraft (33%)).","Grüner Strom, Ecotopten",
ENSTROGA AG,,,,,A,,,
ENTEGA Energie GmbH,Frankfurter Str. 100,64293,Darmstadt,https://www.entega.de,A,,,
envia Mitteldeutsche Energie AG,Chemnitztalstraße 13,9114,Chemnitz,https://www.enviam.de,A,,,
enwag energie- und wassergesellschaft mbH,Hermannsteiner Straße 1,35576,Wetzlar,https://www.enwag.de,A,,,
enwor - energie & wasser vor ort GmbH,Kaiserstraße 86,52134,Herzogenrath,https://www.enwor.de,A,,,
eprimo GmbH,Flughafenstrasse 20,63263,Neu-Isenburg,https://www.eprimo.de/,A,,,
Erdgas Mittelsachsen GmbH,,,,,A,,,
Erdgas Schwaben GmbH,,,,,A,,,
Erdgas Südwest GmbH,,,,,A,,,
e-regio GmbH & Co. KG,Rheinbacher Weg 10,53881,Euskirchen,https://www.e-regio.de,B,"Die rhenag Rheinische Energie AG ist mit 31% Anteilseigner - Hauptgesellschafterin der rhenag AG ist innogy (66,67 % Anteil)",ASEW  ,
Erhard Bürk-Kauffmann GmbH,Neuffenstraße 27-29,78056,Villingen-Schwenningen,https://www.buerk-kauffmann.de,A,,,
Erlanger Stadtwerke AG,Äußere Bruckstr. 33,91052,Erlangen,https://www.estw.de,A,,,
ErmstalEnergie Dettingen an der Erms GmbH & CO. KG,,,,,A,,,
e-rp GmbH,,,,,A,,,
ESDG Energie-Service Dienstleistungsgesellschaft mbH,,,,https://www.esdg.de/web/Downloads,A,,,die ESDG kümmert sich speziell um die Energieversorgung von kirchlichen und sozialen Einrichtungen in ganz Deutschland
ESWE Versorgungs AG,Konradinerallee 25,65189,Wiesbaden,https://www.eswe-versorgung.de,A,,,
EUROGATE Technical Services GmbH,,,,,A,,,
evd energieversorgung Dormagen GmbH,Mathias-Giesen-Straße 13,41540,Dormagen,https://www.evd-dormagen.de,A,,,
EVE EnergieVersorgung Elbtalaue GmbH,,,,,A,,,
EVH GmbH,Bornknechtstr. 5,6108,Halle,https://evh.de,A,,,
EVI Energieversorgung Hildesheim GmbH & Co. KG,,,,,A,,,
EVI Energieversorgung Ihmert GmbH & Co KG,,,,,A,,,
evon Energie - Eine Marke der EVO Vertrieb GmbH,,,,,A,,,
EVS Energieversorgung Schmalkalden GmbH,,,,,A,,,
EVU Langenpreising,,,,,A,,,
EVU Markt Kipfenberg,,,,,A,,,
EVU Späth e.K,,,,,A,,,
E-Werke Haniel Haimhausen OHG,Dachauer Straße 4 a,85778,Haimhausen,https://www.oekostrom-bayern.de/,R,,KlimaInvest-Ökostrom,
E-Werk Gerolsheim,,,,,A,,,
e-werk Sachsenwald GmbH,Hermann-Körner-Straße 61,21465,Reinbek,http://www.ewerk-sachsenwald.de,A,,,
"E-Werk Satrup, Heinrich N. Clausen GmbH & Co.KG",Mühlenstraße 11,24986,Satrup,http://e-werk.heinrich-n-clausen.de,A,,,
EWE VERTRIEB GmbH,Cloppenburger Str. 310,26133,Oldenburg,https://www.ewe.de,A,,,
EW Geiger GmbH,,,,,A,,,
EWG Elektrizitätsversorgung Werther GmbH,Alte Bielefelder Straße 28,33824,Werther,https://www.ewg-werther.de,A,,,
E WIE EINFACH GmbH,Salierring 47-53,50677,Köln,https://www.e-wie-einfach.de,A,,,
EWR AG,,,,,A,,,
EWR GmbH - Energie und Wasser für Remscheid,Neuenkamper Straße 81-87,42855,Remscheid,https://www.ewr-remscheid.de,A,,,
ew-schmid gmbh,Untere Ringstr. 28,94437,Mamming,https://ew-schmid.de,A,,,
EWV Energie- und Wasser-Versorgung GmbH Stolberg,Willy-Brandt-Platz 2,52222,Stolberg,https://www.ewv.de,A,,,
ExtraEnergie GmbH,,,,,C,,,Überregional
EZV Energie- und Service GmbH & Co. KG Untermain,Landstraße 47,63939,Wörth a. Main,http://ezv-energie.de,A,,,
FairEnergie GmbH,Hauffstraße 89,72762,Reutlingen,https://www.fairenergie.de,A,,,
Fair Trade Power Deutschland GmbH,Vintschgauer Str. 5,81547,München,https://www.fairtradepower.de,X,,"Grüner Strom, Ecotopten",
FaNergie - eine Marke der Stadtwerke Freiberg am Neckar Vertriebs-GmbH,,,,https://www.fanergie.de,B,"Kooperationsunternehmen der Stadtwerke Freiburg und der EnBW (Beteiligung der EnBW Kommunale Beteiligungs GmbH  49,9 %)","FirstClimate-Naturstrom, Klima Invest",Stadtwerke freiber liefer Kohe-und Atomstrom
Feuchter Gemeindewerke GmbH,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,A,,,
Filderstadtwerke,Brühlstraße 41,70794,Filderstadt-Sielmingen,https://www.filderstadtwerke.de,R,,KlimaInvest-ÖkostromRE,
First Utility GmbH,,,,,A,,,
Fischereihafen-Betriebsgesellschaft mbH,Lengstraße 1,27572,Bremerhaven,https://www.fbg-bremerhaven.de,A,,,
FischerStrom KG,,,,,A,,,
Fohlenstrom - eine Marke der NEW Niederrhein Energie und Wasser GmbH,,,,,A,,,
Freiberger Stromversorgung GmbH,Poststraße 5,9599,Freiberg,https://www.stadtwerke-freiberg.de/,A,,,
Freisinger Stadtwerke Versorgungs-GmbH,Wippenhauser Str. 19,85354,Freising,https://www.freisinger-stadtwerke.de,R,,TÜV Süd-Verbund,
FREITALER STROM+GAS GMBH,Potschappler Straße 2,1705,Freital/Sachsen,https://www.fsg-freital.de,A,,,
friesenenergie GmbH,Helmsteder Str. 1,26434,Wangerland,https://www.friesenenergie.de,RC,,TÜV Nord,
Fulda-Eder Energie GmbH & Co. KG - Eine Marke der Städtische Werke Kassel AG,,,,,A,,,
fünfwerke GmbH & Co. KG,,,,,A,,,
Fürstlich Fugger v. Glött'sche E-Werks GmbH & Co. KG,,,,,A,,,
Fuxx-Die Sparenergie GmbH,,,,,A,,,
Gammertinger Energie- und Wasserversorgung GmbH,,,,,A,,,
GASAG AG,,,,,A,,,
GAS IN GmbH,,,,,A,,,
GASPAR - eine Marke der rhenag Rheinische Energie AG,Bayenthalgürtel 9,50968,Köln,https://gaspar-energie.de,B,"GASPAR ist ein Marke der rhenag AG, Hauptgesellschafterin der rhenag AG ist innogy mit 66,67 % Anteil",,Marke der rhenag AG
Gas- und Energiegenossenschaft Ost- und Mitteldeutschland eG,,,,,A,,,
Gas- und Wärmedienst Börnsen GmbH,,,,,A,,,
Gas- und Wasserversorgung Höxter GmbH,Corveyer Allee 21,37671,Höxter,https://www.gwh-hoexter.de,RC,,,
Gasversorgungsgesellschaft mbH Rhein-Erft (GVG),,,,,A,,,
Gebrüder Eirich GmbH & Co KG Elektrizitätswerk,Walldürner Str. 50,74736,Hardheim,https://www.gebruedereirich.de,A,,,
Gebrüder Heinzelmann Elektrizitätswerk GmbH & Co. KG,Halmeil 3,77709,Wolfach-Halbmeil,https://www.gebr-heinzelmann.com,A,,,
Gebrüder Miller KG Elektrizitätsversorgung,,,,,A,,,
GELSENWASSER AG,,,,,A,,,
Gemeinde-Elektrizitäts- und Wasserwerk-Werk Burtenbach,,,,,A,,,
Gemeinde Heroldsbach Stromversorgung,Hauptstraße 9,91336,Heroldsbach,https://www.heroldsbach.de,A,,,
Gemeindewerke Ammerbuch GmbH,Kirchstraße 6,72119,Ammerbuch,https://www.gemeindewerke-ammerbuch.de,A,,,
Gemeindewerke Bad Sassendorf GmbH & Co. KG,Eichendorffstraße 1,59505,Bad Sassendorf,https://www.gw-bad-sassendorf.de,A,,,
Gemeindewerke Baiersbronn,Oberdorfstr. 46,72270,Baiersbronn,https://gemeindewerke-baiersbronn.de,A,,,
Gemeindewerke Bayerisch Gmain,,,,,A,,,
Gemeindewerke Bobenheim-Roxheim,Rathausplatz,67240,Bobenheim-Roxheim,https://www.stw-frankenthal.de,A,,,
Gemeindewerke Brüggen GmbH,,,,,A,,,
Gemeindewerke Budenheim AöR,Untere Stefanstr. 65,55257,Budenheim,https://www.gemeindewerke-budenheim.de,A,,,
Gemeindewerke Cadolzburg,,,,,A,,,
Gemeindewerke Dudenhofen,,,,www.vgrd.de,A,,,
Gemeindewerke Ebersdorf,,,,,A,,,
Gemeindewerke Eppelborn GmbH & Co. KG,,,,,A,,,
Gemeindewerke Everswinkel GmbH,,,,https://www.gemeindewerke-everswinkel.de,B,Gesellschafter der GmbH sind die Gemeinde Everswinkel und Innogy (45%),,
Gemeindewerke Frammersbach,Marktplatz 3 (Rathaus),97833,Frammersbach,https://www.frammersbach.de,A,,,
Gemeindewerke Gangkofen,,,,,A,,,
Gemeindewerke Garmisch-Partenkirchen,Adlerstraße 25,82467,Garmisch-Partenkirchen,https://www.gw-gap.de,A,,,
Gemeindewerke Georgensgmünd,Bahnhofstrasse 4,91166,Georgensgmünd,https://www.gemeindewerke-georgensgmuend.de,A,,,
Gemeindewerke Grefrath GmbH,,,,,A,,,
Gemeindewerke Großkrotzenburg GmbH,Anne-Frank-Platz 10,63538,Großkrotzenburg,https://www.gemeindewerke-grosskrotzenburg.de,A,,,
Gemeindewerke Gundelfingen GmbH,Alte Bundesstr. 31,79194,Gundelfingen,https://www.gwg-gundelfingen.de,B,30 % Beteiligung der badenova (handelt auch Graustrom); Der Anbieter hat zudem kein erkennbares Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende,,
Gemeindewerke Halstenbek,Ostereschweg 9,25469,Halstenbek,https://www.gwhalstenbek.de,A,,,
Gemeindewerke Hardt,Mariazeller Str. 1,78739,Hardt,https://www.hardt-online.de,A,,,
Gemeindewerke Haßloch GmbH,Gottlieb-Duttenhöfer-Straße 27,67454,Haßloch,https://www.gwhassloch.de,A,,,
Gemeindewerke Heikendorf GmbH,Wasserwaage 1,24226,Heikendorf,https://www.gwh.sh,A,,,
Gemeindewerke Hermaringen,Karlstr. 12,89568,Hermaringen,https://gemeindewerke-hermaringen.de,RC,,KlimaInvest-Ökostrom,
Gemeindewerke Herxheim,Am Rathaus 6,76863,Herxheim,https://www.gemeindewerke-herxheim.de,A,,TÜV Nord,
Gemeindewerke Heusweiler GmbH,,,,,A,,,
Gemeindewerke Hohenwestedt GmbH,Am Gaswerk 8,24594,Hohenwestedt,https://www.gemeindewerke-hohenwestedt.de,A,,,
Gemeindewerke Holzkirchen GmbH,Industriestraße 8,83607,Holzkirchen,https://www.gw-holzkirchen.de,A,,,
Gemeindewerke Hünxe GmbH,In der Beckkuhl 4,46569,Hünxe,https://www.gemeindewerke-huenxe.de,RC,,,
Gemeindewerke Hütschenhausen c/o Stadtwerke Ramstein-Miesenbach,,,,,A,,,
Gemeindewerke Kahl Versorgungsgesellschaft mbH,,,,,A,,,
Gemeindewerke Kiefersfelden,Kufsteiner Straße 17,83088,Kiefersfelden,https://www.gemeindewerke-kiefersfelden.de,A,,x,
Gemeindewerke Kirkel GmbH,,,,,A,,,
Gemeindewerke Kleinblittersdorf GmbH & Co. KG,,,,,A,,,
Gemeindewerke Krauchenwies,,,,,A,,,
Gemeindewerke Krickenbach c/o Stadtwerke Kaiserslautern Versorgungs-AG,Burgstraße 11,67659,Kaiserslautern,https://www.swk-kl.de,A,,,
Gemeindewerke Lam,,,,,A,,,
Gemeindewerke Lambsheim - Stadtwerke Grünstadt,,,,https://www.swen-gruenstadt.de,A,,,
Gemeindewerke Leck GmbH,Büllsbüller Chaussee 7,25917,Leck,https://www.sw-nf.de,A,,,
Gemeindewerke Malente,,,,https://gemeindewerke-malente.de/,0,Stromkennzeichnung fehlt,,
Gemeindewerke Markt Lichtenau,Ansbacher Straße 11,91586,Lichtenau,https://gemeindewerke.markt-lichtenau.de,R,,RenewablePLUS,Gesellschafter und Mitglied der Kooperationsgesellschaft fränkischer Elektrizitätswerke mbH
Gemeindewerke Markt Stockstadt am Main,,,,,A,,,
Gemeindewerke Münchweiler AöR,,,,www.gemeindewerke-muenchweiler.de,A,,,
Gemeindewerken Bovenden GmbH & Co. KG,Rathausplatz 1,37120,Bovenden,https://www.gemeindewerke-bovenden.de,A,,,
Gemeindewerke Neuendettelsau,Johann-Flierl-Str. 19,91564,Neuendettelsau,https://www.gw-neuendettelsau.de,A,,,
Gemeindewerke Niefern-Öschelbronn,Friedenstraße 11,75223,Niefern-Öschelbronn,https://www.niefern-oeschelbronn.de,A,,,
Gemeindewerke Nüdlingen,Kissinger Str. 1,97720,Nüdlingen,https://www.nuedlingen.de,R,,FirstClimate-Naturstrom Wasser und Wald,
Gemeindewerke Nümbrecht GmbH,Schulstraße 4,51588,Nümbrecht,https://www.gwn24.de,R,,RenewablePLUS,
Gemeindewerke Oberaudorf Elektrizitäts- und Wasserwerk,Kranzhornstraße 2,83080,Oberaudorf,http://www.gemeindewerke-oberaudorf.de,A,,,
Gemeindewerke Oberhaching GmbH,Alpenstraße 11,82041,Oberhaching,https://www.gemeindewerke-oberhaching.de/,A,,,
Gemeindewerke Partenstein,Hauptstrasse 24,97846,Partenstein,https://www.vg-partenstein.de,A,,,
Gemeindewerke Peiner Land GmbH & Co.KG,Woltorfer Straße 64,31224,Peine,https://www.gemeindewerke-peinerland.de/,A,,,
Gemeindewerke Peißenberg KU,Forster Str. 19,82380,Peißenberg,https://www.gemeindewerke-peissenberg.de,A,,,
Gemeindewerke Pleinfeld,Marktplatz 11,91785,Pleinfeld,https://www.gw-pleinfeld.de,A,,,
Gemeindewerke Rheinzabern,,,,http://www.evu-rheinzabern.de,A,,,
Gemeindewerke Rückersdorf,Brunnenweg 9,90607,Rückersdorf,https://gemeindewerke.rueckersdorf.de,A,,,
Gemeindewerke Ruppichteroth,Brölstraße 5,53809,Ruppichteroth,,A,,,
Gemeindewerke Schönkirchen GmbH,Dorfstraße 4,24232,Schönkirchen,https://gemeindewerke-schoenkirchen.de,A,,RenewablePLUS,
Gemeindewerke Schutterwald,Rathaus,77746,Schutterwald,https://www.gemeindewerke-schutterwald.de,A,,,
Gemeindewerke Schwarzenbruck GmbH,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,A,,,
Gemeindewerke Sinzheim,Müllhofener Str. 22,76547,Sinzheim,https://www.gw-sinzheim.de/,A,,,
Gemeindewerke St. Michel-Energie GmbH,,,,,A,,,
Gemeindewerke Stammbach,Rathausstraße 7,95236,Stammbach,https://www.gemeindewerke-stammbach.de,RC,,,
Gemeindewerke Steinhagen GmbH,Westernkamp 12,33803,Steinhagen,https://www.gs-werke.de,A,,,
Gemeindewerke Steißlingen,Schulstr. 19,78256,Steißlingen,https://www.steisslingen.de,A,,,
Gemeindewerke Stelzenberg c/o Stadtwerke Kaiserslautern Versorgungs-AG,Pirmasenser Straße 62,67655,Kaiserslautern,https://www.swk-kl.de,A,,,
Gemeindewerke Stockelsdorf GmbH,Marienburgstraße 7,23617,Stockelsdorf,https://www.gemeindewerke-stockelsdorf.de,R,,"PurepowerTrue, TÜV SÜD EE01",
Gemeindewerke Taufkirchen (Vils) GmbH & Co. KG,Rathausplatz 1,84416,Taufkirchen (Vils),https://www.gemeindewerke-taufkirchen.de,A,,,
Gemeindewerke Thüngen,,,,,A,,,
Gemeindewerke Umkirch GmbH,Vinzenz-Kremp-Weg 1,79224,Umkirch,https://www.gemeindewerke-umkirch.de,A,,,
Gemeindewerke Waging,Salzburger Str. 1,83329,Waging am See,https://www.gemeindewerke-waging.de,A,,,"nur 2% normalstrom, erfüllt aber keine zuätzlichen kriterien"
Gemeindewerke Waldfischbach-Burgalben,,,,,A,,,
Gemeindewerke Weidenthal,Ramsteiner Weg 2,67685,Weilerbach,https://www.weidenthal.de/gemeindewerke/,A,,,
Gemeindewerke Wendelstein,Nürnberger Straße 5,90530,Wendelstein,https://www.gemeindewerke-wendelstein.de,A,,,übernommen von den Stadtwerken Kaiserslautern
Gemeindewerke Wickede (Ruhr) GmbH,,,,,A,,,
Gemeindewerke Wildeck Obersuhl,Eisenacher Straße 98,36208,Wildeck Obersuhl,https://www.wildeck-hessen.de,A,,,tarife lassen keinen 100%igen Ökostrom erkennen
Gemeindewerke Wilhermsdorf,,,,,A,,,
Gemeindewerk Hördt,Am Deutschordensplatz 1,76761,Rülzheim,https://www.heroldsbach.de,A,,,
Gemeindewerk Kaufungen GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,,,,,A,,,
Gemeindl. Werke Hengersberg,Mimminger Straße 2,94491,Hengersberg,https://www.gw-hengersberg.de,A,,,
Gemeindliche Stromversorgung Röttenbach,Ringstr. 46,91341,Röttenbach,https://www.roettenbach-erh.de,A,,,
gemeinsames Kommunalunternehmen Oberes Egertal,Wunsiedler Straße 30,95163,Weißenstadt,http://www.g-ku.de,A,,,
GENO Energie GmbH,,,,https://www.geno-energie.de,A,,,
GEO Gesellschaft für Energieversorgung Ostalb mbH,Heidenheimer Str. 35,73447,Oberkochen,https://www.geo-energie-ostalb.de,RC,,KlimaInvest-Ökostrom,
Georg Oest Mineralölwerk GmbH & Co KG,Georg-Oest-Str. 4,72250,Freudenstadt,https://www.oest.de,0,"AVIA ist eine konzernunabhängige Mineralölmarke. Als Dachgesellschaft bündelt die AVIA AG u.a. den Einkauf von Mineralölprodukten, Brennstoffen und Energie für ihre Mitglieder.",,Avia Strom Gesellschafter
Getreidemühle Zwiefalten e.G.,,,,,A,,,
Gewerbepark Nürnberg-Feucht Versorgungs- und Abwasserentsorgungs GmbH,Unterer Zeidlerweg 1,90537,Feucht,https://www.feucht-gw.de,A,,,
GEW Wilhelmshaven GmbH,Nahestraße 6,26382,Wilhelmshaven,https://www.gew-wilhelmshaven.de,A,,,
GGEW Gruppen-Gas- und Elektrizitätswerk Bergstraße AG,Dammstr. 68,64625,Bensheim,https://www.ggew.de,A,,,
goldgas GmbH,,,,,A,,,
Greenline - alternative energien GmbH,Edelmannstr. 22,39218,Schönebeck,https://www.ggew.de,A,,,
Greenpeace Energy eG,Hongkongstr. 10,20457,Hamburg,https://www.greenpeace-energy.de,X,,"OK-Power Plus, EcoTopTen",
gridX GmbH,,,,,A,,,
grün.power GmbH,An der Fahrt 5,55124,Mainz,https://gruenpower.eu,X,,,
Grüner Funke - eine Marke der Fuxx-Die Sparenergie GmbH,,,,,A,,,
grünES GmbH,,,,https://www.gruen-es.de,B,Kooperation zwischen dem Energiekonzern EnBW und den Stadtwerken Esslingen,,ausschließlich aus heimischen Energiequellen
Grünstromwerk Vertriebs GmbH,Englische Planke 2,20459,Hamburg,https://www.gruenstromwerk.de,XX,,TÜV Nord-Freiwillige Zertifizierung,Vermittler / Dienstleister
Grünwelt - eine Marke der Stromio GmbH,Girmes-Kreuz-Str. 55,41564,Kaarst,https://www.gruenwelt.de,A,,,
Grünwelt Wärmestrom GmbH,,,,,A,,,
GSW Gemeinschaftsstadtwerke GmbH Kamen - Bönen - Bergkamen,Poststraße 4,59174,Kamen,https://www.gsw-kamen.de,A,,,
Gut & Grün - eine Marke der Stadtwerke Bochum GmbH,,,,https://gutundgruen.de,A,,,
GWG Grevenbroich GmbH,Nordstrasse 36,41515,Grevenbroich,https://www.gwg-grevenbroich.de,A,,,Certreten durch: NEW Niederrhein Energie und Wasser GmbH
GWS Stadtwerke Hameln GmbH,Hafenstrasse 14,31785,Hameln,https://www.stadtwerke-hameln.de,A,,,
Halberstadtwerke GmbH,,,,,A,,,
HAMBURG ENERGIE GmbH,Billhorner Deich 2,20539,Hamburg,https://www.hamburgenergie.de/,R,,TÜV Nord-Freiwillige Zertifizierung,
Harz Energie GmbH & Co. KG,Lasfelder Str. 10,37520,Osterode,https://www.harzenergie.de,A,,,
Havelstrom Zehdenick GmbH,Schleusenstraße 22,16792,Zehdenick,https://www.stadtwerke-zehdenick.de,A,,,
Heinrich Klöcker GmbH & Co. KG,Ahauser Straße 21,46325,Borken,https://www.kloecker.de,0,"AVIA ist eine konzernunabhängige Mineralölmarke. Als Dachgesellschaft bündelt die AVIA AG u.a. den Einkauf von Mineralölprodukten, Brennstoffen und Energie für ihre Mitglieder.",,Avia Strom Gesellschafter
Hellweg Energie GmbH - eine Marke der Stadtwerke Lippstadt GmbH,Bunsenstr. 2,59557,Lippstadt,https://www.hellwegenergie.de,A,,,
Hermann Bantleon GmbH,,,,https://www.bantleon.de,0,"AVIA ist eine konzernunabhängige Mineralölmarke. Als Dachgesellschaft bündelt die AVIA AG u.a. den Einkauf von Mineralölprodukten, Brennstoffen und Energie für ihre Mitglieder.",,AVIA_Strom
Hermann Geuder Elektrizitätswerk,,,,,A,,,
Hertener Stadtwerke GmbH,,,,,A,,,
Herzo Werke GmbH,Schießhausstraße 9,91074,Herzogenaurach,https://www.herzowerke.de,R,,TÜV Rheinland,
hev Hohenloher Energie Versorgung GmbH,,,,,A,,,
HEWA GmbH,Wilhelm-Ulmer-Str. 12,91217,Hersbruck,https://www.hewagmbh.de,A,,,
HEW HofEnergie+Wasser GmbH,Unterkotzauer Weg 25,95028,Hof,https://www.stadtwerke-hof.de,A,,,
Hochsauerland Energie GmbH,,,,,A,,,
Hoyer Strom und Erdgas GmbH,,,,,A,,,
idealenergie - eine Marke der 365 AG,,,,,A,,,
Ideo Energie GmbH,,,,,A,,,
illwerke vkw AG,,,,,A,,,
ILZHÖFERS Nachf. Inh. Walch KG,Siebentischstr. 16a,86161,Augsburg,https://www.ilzhoefer.com,0,"AVIA ist eine konzernunabhängige Mineralölmarke. Als Dachgesellschaft bündelt die AVIA AG u.a. den Einkauf von Mineralölprodukten, Brennstoffen und Energie für ihre Mitglieder.",,Avia Strom Gesellschafter
immergrün! Energie - Eine Marke der 365 AG,,,,,A,,,
In(n) Energie GmbH,,,,,A,,,
infra fürth gmbh,Leyher Straße 69,90763,Fürth,https://www.infra-fuerth.de,A,,,
INNergie - eine Marke der Stadtwerke Rosenheim Versorgungs GmbH,,,,,A,,,
INNERSTE ENERGIE - Eine Marke der WEVG Salzgitter GmbH & Co. KG,,,,,A,,,
innogy SE,,,,,A,,,
Jura Strom - eine Marke der Jura Power GmbH & Co.KG,,,,,A,,,
Just Energy Deutschland GmbH,,,,,A,,,
KBG KraftstromBezugsgenossenschaft Homberg eG,Ostpreußenweg 5,34576,Homberg/Efzen,https://www.besser-meine-stadtwerke.de,A,,,
KEEP - Kommunale Eisenberger Energiepartner GmbH,Schulstraße 18,67304,Eisenberg,www.keep-gmbh.de,R,,"TÜV NORD, watergreen",
KESLAR GmbH,,,,,A,,,
KEV Energie GmbH (Energie Nordeifel),Hindenburgstraße 13,53925,Kall,https://www.ene-eifel.de,A,,,
KEW Karwendel Energie & Wasser GmbH,,,,,A,,,
KEW Kommunale Energie- und Wasserversorgung AG,,,,,A,,,
Kiss me green - eine Marke der e:veen Energie eG,,,,,A,,,
KlickEnergie GmbH & Co. KG,Moselstraße 25-27,41464,Neuss,https://www.klickenergie.de,A,,,
Klimaschutz+ Energiegenossenschaft - Ökostrom plus (identisch),Am Pferchelhang 18,69118,Heidelberg,https://www.ökostromplus.de,X,,RenewablePLUS,"ökostrom+, Schönau"
Knauber Strom - eine Marke der Knauber Erdgas GmbH,,,,https://www.knauberstrom.de,R,,RenewablePLUS,vertreibt Heizöl und Erdgas
KommEnergie GmbH,Hauptplatz 4,82223,Eichenau,https://www.kommenergie.de,B,KommEnergie GmbH gehört mehrheitlich der Bayernwerk AG (61% Anteile);  Bayernwerk AG ist eine 100-prozentige Tochter des E.ON-Konzerns,,
Köthen Energie GmbH,Lelitzer Straße 27 b,6366,Köthen,https://www.koethenergie.de,A,,,
Kraftwerke Haag GmbH,Gabelsbergerstraße 25,83527,Haag i. OB,https://www.kraftwerke-haag.de,A,,,
Kraftwerk Farchant A. Poettinger & Co KG,Esterbergstrasse 8,82490,Farchant,https://www.kw-farchant.com/,A,,,
Kraftwerk Köhlgartenwiese GmbH,Tegernauer Ortsstrasse 9,79692,Kleines Wiesental,https://www.koehlgartenwiese.de,RC,Beteiligung der EWS Elektrizitäswerke Schönau mit 39%. Aber kein Investitionsprogramm (entsprechend der ROBIN WOOD Kriterien) zur Förderung der Energiewende erkennbar,,EWS Elektrizitäswerke Schönau
Kreiswerke Main-Kinzig GmbH,,,,,A,,,
Kristal Enerji - eine Marke der Stadtwerke Pforzheim GmbH & Co. KG,,,,,A,,,
enyway GmbH ,Große Reichenstraße 27 ,20457,Hamburg,https://www.enyway.com/de,XX,,,Vermittler / Dienstleister
Lechwerke AG,,,,,A,,,
LE Energy Solutions GmbH,,,,https://www.leeso.de,0,"Die LE Energy Solutions GmbH bietet Dienstleistungen speziell für Eigentümer, Immobilienverwalter usw. ",,Vermittler / Dienstleister
lekker Energie GmbH,Invalidenstraße 17 a,10115,Berlin,https://www.lekker.de,A,,,
Leu Energie GmbH & Co. KG,,,,,A,,,
"Licht-, Kraft- und Wasserwerke Kitzingen GmbH",Wörthstraße 5,97318,Kitzingen,https://www.lkw-kitzingen.de,A,,,
LichtBlick SE,Zirkusweg 6,20359,Hamburg,https://www.lichtblick.de,lichtblick,"Folgende Kriterien werden nicht erfüllt:
    ### Es gibt keine direkte eigentumsrechtliche Verflechtung des Ökostrom-Anbieters mit einem Konzern, der Atom- oder Kohlekraftwerke betreibt oder mit Strom aus diesen Quellen handelt. ##
Lichtblick ist 100%ige Tochter von Eneco, einem niederländischen Energieversorgungsunternehmen welches Graustrom, damit auch Strom aus Kohle und Atomkraft, handelt und ein Gaskraftwerk betreibt.
    ### Der Anbieter fördert die Energiewende durch Bezug von Strom aus Neuanlagen und/oder feste Investitionsprogramme (mind. 0,5 Cent/KWh). ##
Lichtblick hat keine festen  Investitionsprogramme zur Förderung der Energiewende und bezieht weniger als 33% Strom aus Neuanlagen. Lichtblick berechnet aus ihren jährlichen Investitionen in die Energiewende einen Betrag von 0,2 Cent/KWh.","OK-Power, TÜV Nord-Freiwillige Zertifizierung",
Licht- und Kraftwerke Helmbrechts GmbH,Münchberger Str. 65,95233,Helmbrechts,https://www.luk-helmbrechts.de,A,,,
Licht- und Kraftwerke Sonneberg GmbH,,,,,A,,,
Lidl-Strom von E.ON Energie,,,,,A,,,
LogoEnergie GmbH,Münsterstraße 9,53881,Euskirchen,https://www.logoenergie.de,B,100%ige Tochtergesellschaft von e-regio die über rehnag mit Inogy/E.on verflochten ist; Strommix e-regio: https://www.e-regio.de/fileadmin/download/Strom/Vertrieb/ere_20191104_stromkennzeichnung_420x150_fin.pdf,,
LSW Energie GmbH & Co. KG,Heßlinger Straße 1-5,38440,Wolfsburg,https://www.lsw.de,A,,,
LUDVIKK - eine Marke von TWL Energie Deutschland GmbH,,,,,A,,,
LÜNESTROM - eine Marke der FIRSTCON GmbH,,,,,A,,,
MAINGAU Energie GmbH,Ringstraße 4 - 6,63179,Obertshausen,https://www.maingau-energie.de,B,Süwag hält >20% Anteil und rehnag 26%; Süwag und rehnag gehört mehrheitlich zur E.ON Tochter Innogy,TÜV Süd,
Mainova AG,Solmsstr. 38,60486,Frankfurt am Main,https://www.mainova.de,A,,,
Maintal-Werke-GmbH,Neckarstraße 7,63477,Maintal-Dörnigheim,https://www.maintal-werke.de,A,,,
