Andere Liste,Firmenname,Kennzeichnung Link,Anmerkungen,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,A,B,C,D,R,X,Eigene Anlagen/Anteile an Anlagen,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
,Braunschweiger Versorgungs-AG & Co. KG,https://www.bs-energy.de/fileadmin/BS_ENERGY/privatkunden/produkte/strom/Infoletter_Stromherkunft_BSEnergy_2018.pdf,,Taubenstraße 7,38106,Braunschweig,https://www.bs-energy.de,A,X,,,,,,,,,
True,Bremer SolidarStrom,,,Wielandstraße 15,28203,Bremen,https://bremer.solidarstrom.de,X,,,X,,,,,?,,EWS Schönau Strom
,Burgenland Energie GmbH,http://www.burgenland-energie.de/unternehmen/veroeffentlichungspflichten,nicht aktuell,,,,,A,X,,,,,,,,,
,Bürger Energie Genossenschaft Freisinger Land e.G.,http://beg-fs.de/stromkennzeichnung-gemas-energiewirtschaftsgesetz/,nicht aktuell,,,,,A,X,,,,,,,,,
,BürgerEnergie Solingen eG,https://www.buergerenergie-solingen.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
True,Bürgerinitiative Umweltschutz e.V.,,,Stephanusstr. 25,30449,Hannover ,http://www.oekostrompool.org,X,Naturstrom AG,,,,,,,Grüner Strom,,
,Bürgerwerke eG,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,FEHLER fehlerhafte Kennzeichnung,,,,,A,X,,,,,,,,,
,C. Ensinger GmbH & Co.KG,http://www.c-ensinger.de/files/8.EWO_Stromkennzeichnung.pdf,,Schießhüttestr. 12,73277,Owen,https://www.c-ensinger.de/,RC,,,,,,,?,,,
,CB Energie GmbH,https://cbenergie.de/stromkenng/,,,,,,A,X,,,,,,,,,
,Citiwerke - eine Marke der Thüga Energie GmbH,https://citiwerke.com/fileadmin/dokumente/citistrom_kennzeichnung.pdf,,,,,,A,X,,,,,,,,,
True,ComMetering GmbH,,,,,,,0,,,,,,,,,,sind nicht in der Marktrolle des Lieferanten und auch nicht Vertragspartner für die Stromlieferung.
,Cramer Mühle KG,http://www.cramermuehle.de/index.html,nicht vorhanden,,,,,A,X,,,,,,,,,
,Crämer Schmäling GmbH,https://www.avia-lippstadt.de/privatkunden/avia-strom.html#c2748,nicht aktuell,,,,,A,X,,,,,,,,,
,DB Energie,https://www.dbenergie.de/resource/blob/1345644/c5707c725a0831df0c3719356788ff33/allgemeines_stromkennzeichnung-data.pdf,,,,,,A,X,,,,,,,,,
,Dessauer Stromversorgung GmbH,https://www.dvv-dessau.de/fileadmin/user_upload/Privatkunden/Strom/Docs/Strommix_2017__grafik.pdf,,Albrechtstraße 48,6844,Dessau,https://www.dvv-dessau.de,A,X,,,,,,,,,
,die energievorsorger GmbH,https://www.die-energievorsorger.de/strom/,,Höhenweg 14,49170,Hagen a.T.W.,https://www.dvv-dessau.de,A,,,,,,,,,,
True,Die Heidelberger Solidarstromer,,,Pferchelhang 18,69118,Heidelberg,https://heidelberger.solidarstrom.de,X,,,X,,,,,EcoTopTen,,EWS Schönau Strom
True,Die Schriesheimer Ökostromer,,,Postfach 1105,69191,Schriesheim,https://www.schriesheimer.ökostromplus.de,X,,,X,,,,,EcoTopTen,,
,Donau-Stadtwerke Dillingen-Lauingen,http://www.dsdl.de/wp-content/uploads/Stromkennzeichnung_2018.pdf,,,,,,A,X,,,,,,,,,
,Dortmunder Energie- und Wasserversorgung GmbH,https://vertrieb.dew21.de/grossunternehmen/stromkennzeichnung/,,,,,,A,X,,,,,,,,,
,Dreipunkt Energie - Eine Marke der AVU Aktiengesellschaft für Versorgungs-Unternehmen,https://www.dreipunktenergie.de/quantum_cms/_media/2e93b1df072d87e0.energietraegermix-2017-210x99_.pdf,,,,,,A,X,,,,,,,,,
,Dreischtrom GmbH,https://www.dreischtrom.de/files/pdf/Download/Energiemix_2017.pdf,,,,,,A,X,,,,,,,,,
,DREWAG - Stadtwerke Dresden GmbH,https://www.drewag.de/wps/portal/drewag/cms/menu_main/geschaeftskunden/produkte/strom/jahresverbrauch-ab-100.000-kwh/dresdner-strom-natur,,Friedrich-List-Platz 2,1069,Dresden,https://www.drewag.de,A,X,,,,,,,,,
,E.ON Energie Deutschland GmbH,https://www.eon.de/de/pk/service/rechtliches-veroeffentlichungspflichten/stromkennzeichnung.html,,Arnulfstraße 203,80634,München,https://www.eon.de,A,X,,,,,,,,,
,E.VITA GmbH,https://www.evita-energie.de/gewerbekunden/service/marktinformationen/strompreis/,nicht aktuell,,,,,A,X,,,,,,,,,
,e.wa riss GmbH & Co KG,https://www.ewa-riss.de/de/Strom/,,Freiburger Straße 6,88400,Biberach,https://www.ewa-riss.de,A,X,,,,,,,,,
,EAM Energie GmbH,https://www.eam.de/fileadmin/public/0.downloads/1.kunden/strom/EAM_Produktblatt_Strom_011118.pdf,,Monteverdistraße 2,34131,Kassel,https://www.eam.de,RC,,,,,,,,,,
True,EBERwerk GmbH & Co. KG,,,Eichthalstr. 10,85560,Ebersberg,https://www.eberwerk.de,R,,,?,,,,X,,,
,EBLD Schweiz Strom GmbH,https://www.schweizstrom.de/de/ueber-uns/stromkennzeichnung.html,,,,,https://www.schweizstrom.de,C,,,,,,,,TÜV Nord,,deutschlandweiter Anbieter
,Econsum GmbH,https://www.econsum.com/service/stromkennzeichnung,,,,,,A,X,,,,,,,,,
,EGF EnergieGesellschaft Frankenberg mbH,https://www.egf-frankenberg.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/2017-Stromkennzeichnung-der-EGF.pdf,,,,,,A,X,,,,,,,,,
,EGT Energievertrieb GmbH,https://www.egt.de/fileadmin/egt/Dokumente/Privat_Gewerbe/Strom/EGT_Tarifuebersicht_Strom_Web_01.pdf,,Schonacher Str. 2,78098,Triberg,https://www.egt.de,A,X,,,,,,,,,
,EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,https://www.ehinger-energie.de/wp-content/uploads/2018/10/Stromkennzeichnung_2018.pdf,,,,,,A,X,,,,,,,,,
,Eichenmüller GmbH & Co. KG,http://www.vertrieb.ew-eichenmueller.de/Infos/infos.html,nicht aktuell,,,,,A,X,,,,,,,,,
,Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,https://www.ewb-duderstadt.de/de/Strom/Ausgezeichnet/Energiemix-2017.pdf,,Am Euzenberg 32,37115,Duderstadt,https://www.ewb-duderstadt.de,A,X,,,,,,,,,
,Eichsfeldgas GmbH,https://www.eichsfeldwerke.de/energie/strom/stromzusammensetzung/,,,,,,A,X,,,,,,,,,
,Einhorn Energie GmbH & Co. KG,https://www.einhorn-energie.de/site/assets/files/1862/ee_stromkennzeichnung_2017.pdf,,,,,https://www.einhorn-energie.de,B,,50% Beteiligung der EnBW ODR ,,,,,,,, EnBW ODR ist eine Tochtergesellschaft der EnBW 
,eins energie in sachsen GmbH & Co. KG,https://www.eins.de/files/eins/content/dokumente/Privatkunden/Strom/eins_Stromkennzeichnung_2017.jpg,,Augustusburger Straße 1,9111,Chemnitz,https://www.eins.de,A,X,,,,,,,,,
,Eisenacher Versorgungs-Betriebe GmbH,https://www.evb-energy.de/documents/68334/195505/evb_Stromkennzeichnung_2018.pdf/d364e5af-7057-f5bb-3762-efe635cc72bf,,,,,,A,X,,,,,,,,,
,Elektra-Genossenschaft Effeltrich eG,https://elektra-effeltrich.de/endverbraucher/unser-strom/,,Hauptstr. 1,91090,Effeltrich,https://elektra-effeltrich.de/,A,X,,,,,,,,,
,Elektra-Genossenschaft Pinzberg eG,http://www.elektra-pinzberg.de/,FEHLER Website wird neu erstellt,,,,,A,X,,,,,,,,,
,Elektrizitäts-Genossenschaft Dirmstein eG,https://www.egdirmstein.de/_Resources/Persistent/39bd247468188b2ee1b22bdad1f05bd684014aba/2017_Stromkennzeichnung_EGD.pdf,,,,,,A,X,,,,,,,,,
,Elektrizitätsgenossenschaft Engelsberg e.G.,https://www.eg-engelsberg.de/stromkennzeichnung,FEHLER Deutschland-Mix,Osnabrücker Straße 31a,49219,Glandorf,https://www.eg-engelsberg.de,A,X,,,,,,,,,
,Elektrizitätsgenossenschaft Hasbergen eG,https://www.eg-hasbergen.de/media/download/veroeffentlichungen/Stromkennzeichnung_2017.pdf,FEHLER mit EEG,,,,,A,X,,,,,,,,,
,Elektrizitätsgenossenschaft Karlstein eG,http://www.eg-karlstein.de/Veroffentlichungen/stromkennzeichnung2017.pdf,,Weitwiesenring 6,83435,Bad Reichenhall,https://www.eg-karlstein.de,RC,,,,,,,,,,
,Elektrizitätsgenossenschaft Nordhalben und Umgebung eG,http://www.eg-nordhalben.de/downloads/Strommix.pdf,,,,,,A,X,,,,,,,,,
,Elektrizitätsgenossenschaft Oesterweg eG,http://www.eg-oesterweg.de/pdf/Stromkennzeichnung_2017.pdf,,,,,,A,X,,,,,,,,,
,Elektrizitätsgenossenschaft Ohlstadt eG,http://ego-ohlstadt.de/Stromvertrieb/Stromkennzeichnung/stromkennzeichnung.html,nicht aktuell,Schwaigweg 7,82441,Ohlstadt,http://ego-ohlstadt.de,A,X,,,,,,,,,
,Elektrizitätsgenossenschaft Rettenberg eG,http://www.eg-rettenberg.de/wp-content/uploads/2018/10/Stromkennzeichnung_EGR_Basisjahr_2017_.pdf,,Burgberger Str. 24,87549,Rettenberg,http://www.eg-rettenberg.de,A,X,"Netzbetreiber, Strom der Kooperation AllgäuStrom",,,,,,,,
,Elektrizitäts-Genossenschaft Röthenbach eG,http://www.eg-roethenbach.de/,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitäts-Genossenschaft Schlachters eG,https://www.eg-schlachters.de/images/Dok71.pdf,,Hauptstraße 51,88138,Sigmarszell,info@eg-schlachters.de,RC,,,,,,,,,,
,Elektrizitäts-Genossenschaft Schonstett eG,http://www.eg-schonstett.de/index.php/content/view/19/34/,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitäts-Genossenschaft Tacherting-Feichten e.G.,https://egtf.de/strom/vertrieb.html,nicht aktuell,Stefan-Flötzl-Str. 4,83342,Tacherting,https://egtf.de,A,X,,,,,,,,,
,Elektrizitätsgenossenschaft Unterneukirchen eG,https://www.eg-unterneukirchen.de/index.php?id=26,FEHLER fehlerhafte Kennzeichnung,,,,,A,X,,,,,,,,,
,Elektrizitäts-Genossenschaft Vogling & Angrenzer eG,https://www.eva-siegsdorf.de/wordpress/?page_id=131,nicht aktuell,Höpfling 2,83313,Siegsdorf,https://www.eva-siegsdorf.de,A,X,,,,,,,,,
,Elektrizitäts-Genossenschaft Wolkersdorf und Umgebung eG,https://www.eg-wolkersdorf.de/,nicht vorhanden,Schmidhamer Str. 26,83278,Traunstein-Wolkersdorf,https://www.eg-wolkersdorf.de/,A,X,,,,,,,,,
,Elektrizitätsgesellschaft Levern eG,http://www.eg-levern.de/desktopdefault.aspx/tabid-597.html,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG,https://www.ewg-vagen.de/pdf/180924_edg_informationsplficht_2018.pdf,FEHLER mit EEG,Lindenstraße 14,83620,Feldkirchen-Westerham,https://www.ewg-vagen.de/,A,X,,,,,,,,,
,Elektrizitätsvereinigung Böbing eG,https://ev-boebing.de//htmls/stromkennzeichnung.htm,,Riedelweg 2,82389,Böbing,https://ev-boebing.de,A,X,,,,,,,,,
,Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim,https://evu.gochsheim.de/cms/front_content.php?idcat=44,,Am Plan 4-6,97469,Gochsheim,https://evu.gochsheim.de,A,X,,,,,,,,,
,Elektrizitäts-VersorgungGenossenschaft Perlesreut eG,http://www.evg-perlesreut.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,Elektrizitätsversorgung Rheinzabern,http://www.evu-rheinzabern.de/downloads/Strommix.pdf,,Hauptstraße 33,76764,Rheinzabern,http://www.evu-rheinzabern.de,A,X,,,,,,,,,
True,Elektrizitätsversorgung Waldsee,,,,,,,?,,,,,,,,,,keine Internetpräsenz?
True,Elektrizitätsversorgung Wattenheim,,,,,,,?,,,,,,,,,,keine Internetpräsenz?
,Elektrizitätswerk Aach GmbH,https://www.ew-aach.de/wir-ueber-uns/ew-aach-gmbh/publikationen/,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitätswerk des Kantons Schaffhausen AG,https://www.eks.ch/sites/default/files/2018-11/eks_stromkennzeichnung_2017_DE.pdf,,Rheinstr. 37,CH-8200 ,Schaffhausen,https://www.eks.ch,A,X,,,,,,,,,
,Elektrizitätswerk Diessen Stadler GmbH,http://www.ew-diessen.de/netz/,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitätswerke Reutte GmbH & Co KG,https://www.ewr-energie.com/service/downloads/#cat-7,,Lechhalde 1 1/2,87629,Füssen,https://www.ewr-energie.com,R,Erdgas ,,X,,,,13 Wasserkraftwerke ,x,,
,Elektrizitätswerke Schönau Vertriebs GmbH,https://www.ews-schoenau.de/export/sites/ews/ews/energiedienstleistungen/.files/stromkennzeichnung-oekostrom-2017.pdf,,Friedrichstraße 53/55,79677,Schönau/Schw.,https://www.ews-schoenau.de/,X,,,,,,,,"OK-Power Plus, EcoTopTen",,
,Elektrizitätswerk Gemeinde Glattbach,https://www.glattbach.de/stromkennzeichnung-2018,,Im Wiesengrund 3,63864,Glattbach,https://www.glattbach.de,A,X,,,,,,,,,
,Elektrizitätswerk Georg Grandl e.K.,https://www.ew-grandl.de/veroeffentlichungen-nach-enwg-vertrieb/,,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,https://www.ew-goldbach-hoesbach.de/downloads/formulare/20181029_EWG_Stromkennzeichnung_2017.pdf,,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Haimmerer,https://www.e-werk-haimmerer.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH,https://www.ewh.de/fileadmin/user_upload/PDF/RZ_EHV_Stromkennzeichen_2018_A4_Web.pdf,,Im Geisenborn 4,56242,Selters,https://www.ewh.de,A,X,,,,,,,,,
,Elektrizitätswerk Hauenstein,http://www.energie-hauenstein.de/werk/,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Heinrich Schirmer,https://www.ew-schirmer.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Hindelang eG,https://www.ewhindelang.de/download/energiemix_basis2017_allg%C3%A4ustrom_partner_ewh_.pdf,,Weidachstrasse 9,87541,Bad Hindelang,https://www.ewhindelang.de,A,X,,,,,,,,,
,Elektrizitätswerk Kappelrodeck Gustav Ziegler KG,http://s439195908.website-start.de/strom-vertrieb/stromtarife/stromkennzeichnung/,,Venedig 10,77876,Kappelrodeck,http://s439195908.website-start.de/,A,X,,,,,,,,,
,Elektrizitätswerk Karl Stengle GmbH & Co KG,https://www.e-werk-stengle.de/cms/files/user-data/pdfs/Stromkennzeichnug_31102018_HP.pdf,,Niedere-Au-Straße 11,72108,Rottenburg a. N.,https://www.e-werk-stengle.de,R,,,?,,,,X,,,
,Elektrizitätswerk Landsberg GmbH,https://www.ewlandsberg.de/media/7162/stromkennzeichnung_ewl.pdf,,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Leitlein GmbH & Co. KG,http://leitlein.com/w_strom.htm,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitäts-Werk Mainbernheim GmbH,http://www.ewerk-mainbernheim.de/index.php/stromkennzeichnung.html,,Am Wehrbach 1,97350,Mainbernheim,http://www.ewerk-mainbernheim.de,R,,,X,,,,,RenewablePLUS,,
,Elektrizitätswerk Markt Obernzell,https://www.obernzell.de/index.php/rathaus/gemeindewerke,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Max Peißker,http://max-peissker.de/,nicht vorhanden,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Mittelbaden AG & Co. KG,https://webportal.e-werk-mittelbaden.de/csit/action/csShowProducts?fileID=d7e16ce0-a30f-11e5-a8d4-41b4ac1021e0%3Acb3ff16e%3AHBN&formReset.x=true,,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Müller Tauberrettersheim,http://www.mueller-muehle.de/html/energietrager-mix.html,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Oberwössen eG,https://www.ew-oberwoessen.de/app/download/5784545174/Stromkennzeichnung_Oberw%C3%B6ssen_2017.pdf,,Dorfstraße 28,83246,Oberwössen,https://www.ew-oberwoessen.de/,A,X,Internetseite funktioniert nicht,,,,,,,,
,Elektrizitätswerk Ottenhöfen Moser GmbH & Co. KG,https://www.ew-ottenhoefen.de/stromtarife/,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitäts-Werk Ottersberg,https://www.ewerk-ottersberg.de/veroeffentlichungen,nicht aktuell,Grüne Straße 24,28870,Ottersberg,https://www.ewerk-ottersberg.de,A,X,X,,,,,,,x,
,Elektrizitätswerk Rieger GmbH & Co. KG,http://www.ewr-rieger.de/stromkennzeichnung/,,Friedrichstrasse 16,72805,Lichtenstein,https://www.ewr-rieger.de,R,,,,,,,X,x,,
,Elektrizitätswerk Rohmund GmbH,https://www.ew-rohmund.de/downloads/stromkennzeichnung-2017-ewr.pdf,,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Rosenmühle e.K.,Elektrizitätswerk Rosenmühle e.K.,FEHLER keine Website,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Schweiger GmbH,https://www.ew-schweiger.de/phocadownload/energiemix-website%202017.pdf,,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,https://ewerk-tegernsee.de/wp-content/uploads/2018/10/EWS-Strommix-2017-1.pdf,,Hochfeldstraße 3,83684,Tegernsee,https://ewerk-tegernsee.de,A,X,,,,,,,,,
,Elektrizitätswerk Wanfried von Scharfenberg KG,https://www.ewwanfried.de/strom/produktinformationen/,nicht aktuell,Unter der Tränke 1,37281,Wanfried,https://www.ewwanfried.de,A,X,,,,,,,,,
,Elektrizitätswerk Weißenhorn AG,https://www.ewag-weissenhorn.de/gewerbe/download-center/,nicht aktuell,,,,,A,X,,,,,,,,,
,Elektrizitätswerk Wennenmühle Schörger KG,https://www.wennenmuehle.de/energiemix.html,,,,,,A,X,,,,,,,,,
,Elektro-Trück GmbH,Elektro-Trück GmbH,FEHLER keine Website,,,,,A,X,,,,,,,,,
,Elogico - Eine Marke der ENSTROGA AG,https://www.elogico.de/unternehmen/stromkennzeichnung/,,,,,,A,X,,,,,,,,,
,em.serv GmbH,http://www.emserv-gmbh.de/,nicht aktuell,,,,,A,X,,,,,,,,,
,EMB Energie Mark Brandenburg GmbH,https://www.emb-gmbh.de/Privatkunden/Strom/Seiten/default.aspx,,Großbeerenstraße 181 - 18,14482,Potsdam,https://www.emb-gmbh.de,A,X,,,,,,,,,
,EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,https://we-are-energy.de/strom/kennzeichnung/,nicht aktuell,Luitpoldstraße 17,63897,Miltenberg,https://we-are-energy.de,A,X,,,,,,,,,
,Emil Energie GmbH,https://www.emil-energie.de/wp-content/uploads/2012/08/Grafiken_Stromherkunft_EmilEnergie_2017_RZ.jpg,,,,,,A,X,,,,,,,,,
,EMMA Energie - eine Marke von TWL Energie Deutschland GmbH,https://emma-energie.de/informationen/strommix,,,,,,A,X,,,,,,,,,
,Emscher Lippe Energie GmbH,https://www.ele.de/Privatkunden/strom-erdgas/strom-fuer-den-haushalt/stromkennzeichnung.html,,Ebertstr.30,45879,Gelsenkirchen,https://www.ele.de,A,X,,,,,,,,x,
