Lichtblick Liste,RoWo Liste,Firmenname,Erneuerbare Energien 2,Link Stromkennzeichnung,Anmerkungen,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,A,B,C,D,R,X,Eigene Kraftwerke/Anteile an Kraftwerken,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
True,,Audax Energie GmbH,0.00%,https://www.audaxenergie.de/?sec=strom,nicht vorhanden,,,,,,,,,,,,,,,
True,True,AVU Aktiengesellschaft für Versorgungs-Unternehmen,2.46%,https://www.avu.de/downloads/veroeffentlichungspflichten/energietraegermix-2017.pdf,,An der Drehbank 18,58285,Gevelsberg,https://www.avu.de,A,,,,,,,,,,
True,,backnangstrom GmbH & Co. KG,0.00%,https://www.backnangstrom.de/privatkunden/startseite/,nicht aktuell,,,,,,,,,,,,,,,
True,True,badenova AG & Co. KG,52.22%,https://www.badenova.de/web/Privatkunden/%C3%96kostrom/Informationen-und-Rechtliches/index.jsp,,Tullastraße 61,79108,Freiburg,https://www.badenova.de,A,,,,,,,,,,
True,,Bad Honnef AG,29.51%,https://www.bhag.de/stromkennzeichnung,,,,,,,,,,,,,,,,
True,True,Bad Lauterberg Energie GmbH,0.00%,https://www.badlauterberg-energie.de/de/Referenzierter-Inhalt/Referenzierter-Downloads/Stromkennzeichnung-2018.pdf,nicht aktuell,Bahnhofstraße 17-19,37431,Bad Lauterberg im Harz,https://www.badlauterberg-energie.de,A,,,,,,,,,,
True,,BarMalGas GmbH,0.00%,BarMalGas GmbH,(Ineon) nicht aktuell,,,,,,,,,,,,,,,
True,,Bauer Elektrounternehmen GmbH & Co.KG,0.21%,https://www.bauer-stromkunden.de/kennzeichnung-der-stromlieferung.html,,,,,,,,,,,,,,,,
True,True,BayWa Ökoenergie GmbH,100.00%,https://www.baywa-oekoenergie.de/fileadmin/media/global/strommix/Strommix_2017_BayWa_Oekoenergie_Stand_Oktober_2018.jpg,,Arabellastraße 4,81925,München,https://www.baywa-oekoenergie.de,X,,,,,,,,,,
True,True,"BELKAW Bergische Licht-, Kraft- und Wasserwerke GmbH",2.23%,https://www.belkaw.de/de/privatkundenportal/tarife/rechtliches/stromkennzeichnung/index.php,,Hermann-Löns-Str. 131-133,51469,Bergisch-Gladbach,https://www.belkaw.de,A,,,,,,,,,,
True,,Benergie-Service GmbH,100.00%,https://www.benergie.de/privatkunden/oekostrom,,,,,,,,,,,,,,,,
True,,BERGMANN - Elektrizität & Gas - eine Marke der LSW Energie GmbH & Co. KG,15.07%,https://einfach-bergmann.de/downloads/LSW_Stromkennzeichnung_2018-11.pdf,,,,,,,,,,,,,,,,
True,,Berliner Stadtwerke GmbH,100.00%,https://berlinerstadtwerke.de/okostrom/strommix/,,,,,,,,,,,,,,,,
True,True,BeSte Stadtwerke GmbH,26.11%,https://www.beste-stadtwerke.de/Produkte/Strom/,,Im Altenhagen 1,32839,Steinheim,https://www.beste-stadtwerke.de,A,,,,,,,,,,
True,,BEV Bayerische Energieversorgungsgesellschaft mbH,0.00%,https://www.bev-energie.com/stromkennzeichnung/,nicht aktuell,,,,,,,,,,,,,,,
True,True,BEW Bergische Energie- und Wasser-GmbH,5.94%,https://www.bergische-energie.de/fileadmin/user_upload/Dokumente/Urkunden_u._Rechtliches/Stromkennzeichnung_2017_Lokalstrom_Option_natur_01.pdf,    ,Sonnenweg 30,51688,Wipperfürth,https://www.bergische-energie.de,A,,,,,,,,,,
True,True,BIGGE ENERGIE GmbH & Co. KG,3.82%,https://www.bigge-energie.de/fileadmin/user_upload/pagetree_root/Privatkunden/Produkte_Leistungen/01_Strom/Allgemein/Kennzeichnung_Stromlieferung_2018.pdf,,In der Stesse 14,57439,Attendorn,https://www.bigge-energie.de,A,,,,,,,,,,
True,,Billig? Will ich! - eine Marke der Stadtwerke Augsburg Energie GmbH,0.00%,https://www.billig-will-ich.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,True,Blomberger Versorgungsbetriebe GmbH,30.51%,https://www.bvb-blomberg.de/strom/tarif_2018.php,,Nederlandstraße 15,32825,Blomberg,https://www.bvb-blomberg.de/,A,,,,,,,,,,
True,True,Bocholter Energie- und Wasserversorgung GmbH,43.21%,https://www.bew-bocholt.de/privatkunden/strom/stromkennzeichnung.html,,Kaiser-Wilhelm-Straße 1,46395,Bocholt,https://www.bew-bocholt.de,A,,,,,,,,,,
True,,Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG,27.94%,https://www.bodensee-energie.de/pdf/stromkennzeichnung.pdf,,,,,,,,,,,,,,,,
True,,Bonus Strom GmbH,0.00%,https://www.bonusstrom.de/tipps-fragen/unser-energiemix/,nicht aktuell,,,,,,,,,,,,,,,
True,True,Braunschweiger Versorgungs-AG & Co. KG,4.92%,https://www.bs-energy.de/fileadmin/BS_ENERGY/privatkunden/produkte/strom/Infoletter_Stromherkunft_BSEnergy_2018.pdf,,Taubenstraße 7,38106,Braunschweig,https://www.bs-energy.de,A,,,,,,,,,,
True,,Burgenland Energie GmbH,0.00%,http://www.burgenland-energie.de/unternehmen/veroeffentlichungspflichten,nicht aktuell,,,,,,,,,,,,,,,
True,,Bürger Energie Genossenschaft Freisinger Land e.G.,0.00%,http://beg-fs.de/stromkennzeichnung-gemas-energiewirtschaftsgesetz/,nicht aktuell,,,,,,,,,,,,,,,
True,,BürgerEnergie Solingen eG,0.00%,https://www.buergerenergie-solingen.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,,Bürgerwerke eG,0.00%,https://buergerwerke.de/strom-beziehen/unser-strom/oekostrom-aus-buergerhand/,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,
True,,C. Ensinger GmbH & Co.KG,100.00%,http://www.c-ensinger.de/files/8.EWO_Stromkennzeichnung.pdf,,,,,,,,,,,,,,,,
True,,CB Energie GmbH,6.16%,https://cbenergie.de/stromkenng/,,,,,,,,,,,,,,,,
True,,Citiwerke - eine Marke der Thüga Energie GmbH,51.63%,https://citiwerke.com/fileadmin/dokumente/citistrom_kennzeichnung.pdf,,,,,,,,,,,,,,,,
True,,Cramer Mühle KG,0.00%,http://www.cramermuehle.de/index.html,nicht vorhanden,,,,,,,,,,,,,,,
True,,Crämer Schmäling GmbH,0.00%,https://www.avia-lippstadt.de/privatkunden/avia-strom.html#c2748,nicht aktuell,,,,,,,,,,,,,,,
True,,DB Energie,28.39%,https://www.dbenergie.de/resource/blob/1345644/c5707c725a0831df0c3719356788ff33/allgemeines_stromkennzeichnung-data.pdf,,,,,,,,,,,,,,,,
True,True,Dessauer Stromversorgung GmbH,2.66%,https://www.dvv-dessau.de/fileadmin/user_upload/Privatkunden/Strom/Docs/Strommix_2017__grafik.pdf,,Albrechtstraße 48,6844,Dessau,https://www.dvv-dessau.de,A,,,,,,,,,,
True,True,die energievorsorger GmbH,100.00%,https://www.die-energievorsorger.de/strom/,,Höhenweg 14,49170,Hagen a.T.W.,https://www.dvv-dessau.de,A,,,,,,,,,,
True,,Donau-Stadtwerke Dillingen-Lauingen,8.28%,http://www.dsdl.de/wp-content/uploads/Stromkennzeichnung_2018.pdf,,,,,,,,,,,,,,,,
True,,Dortmunder Energie- und Wasserversorgung GmbH,51.04%,https://vertrieb.dew21.de/grossunternehmen/stromkennzeichnung/,,,,,,,,,,,,,,,,
True,,Dreipunkt Energie - Eine Marke der AVU Aktiengesellschaft für Versorgungs-Unternehmen,2.46%,https://www.dreipunktenergie.de/quantum_cms/_media/2e93b1df072d87e0.energietraegermix-2017-210x99_.pdf,,,,,,,,,,,,,,,,
True,,Dreischtrom GmbH,5.23%,https://www.dreischtrom.de/files/pdf/Download/Energiemix_2017.pdf,,,,,,,,,,,,,,,,
True,True,DREWAG - Stadtwerke Dresden GmbH,12.48%,https://www.drewag.de/wps/portal/drewag/cms/menu_main/geschaeftskunden/produkte/strom/jahresverbrauch-ab-100.000-kwh/dresdner-strom-natur,,Friedrich-List-Platz 2,1069,Dresden,https://www.drewag.de,A,,,,,,,,,,
True,True,E.ON Energie Deutschland GmbH,8.45%,https://www.eon.de/de/pk/service/rechtliches-veroeffentlichungspflichten/stromkennzeichnung.html,,Arnulfstraße 203,80634,München,https://www.eon.de,A,,,,,,,,,,
True,,E.VITA GmbH,0.00%,https://www.evita-energie.de/gewerbekunden/service/marktinformationen/strompreis/,nicht aktuell,,,,,,,,,,,,,,,
True,True,e.wa riss GmbH & Co KG,3.82%,https://www.ewa-riss.de/de/Strom/,,Freiburger Straße 6,88400,Biberach,https://www.ewa-riss.de,A,,,,,,,,,,
True,True,EAM Energie GmbH,100.00%,https://www.eam.de/fileadmin/public/0.downloads/1.kunden/strom/EAM_Produktblatt_Strom_011118.pdf,,Monteverdistraße 2,34131,Kassel,https://www.eam.de,R?,,,?,,,,,,,
True,,EBLD Schweiz Strom GmbH,100.00%,https://www.schweizstrom.de/de/ueber-uns/stromkennzeichnung.html,,,,,,,,,,,,,,,,
True,,Econsum GmbH,0.42%,https://www.econsum.com/service/stromkennzeichnung,,,,,,,,,,,,,,,,
True,,EGF EnergieGesellschaft Frankenberg mbH,77.07%,https://www.egf-frankenberg.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/2017-Stromkennzeichnung-der-EGF.pdf,,,,,,,,,,,,,,,,
True,True,EGT Energievertrieb GmbH,27.42%,https://www.egt.de/fileadmin/egt/Dokumente/Privat_Gewerbe/Strom/EGT_Tarifuebersicht_Strom_Web_01.pdf,,Schonacher Str. 2,78098,Triberg,https://www.egt.de,A,,,,,,,,,,
True,,EHINGER ENERGIE Stromvertrieb GmbH & Co. KG,9.77%,https://www.ehinger-energie.de/wp-content/uploads/2018/10/Stromkennzeichnung_2018.pdf,,,,,,,,,,,,,,,,
True,,Eichenmüller GmbH & Co. KG,0.00%,http://www.vertrieb.ew-eichenmueller.de/Infos/infos.html,nicht aktuell,,,,,,,,,,,,,,,
True,True,Eichsfelder Energie- und Wasserversorgungsgesellschaft mbH,34.61%,https://www.ewb-duderstadt.de/de/Strom/Ausgezeichnet/Energiemix-2017.pdf,,Am Euzenberg 32,37115,Duderstadt,https://www.ewb-duderstadt.de,A,,,,,,,,,,
True,,Eichsfeldgas GmbH,1.70%,https://www.eichsfeldwerke.de/energie/strom/stromzusammensetzung/,,,,,,,,,,,,,,,,
True,,Einhorn Energie GmbH & Co. KG,100.00%,https://www.einhorn-energie.de/site/assets/files/1862/ee_stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,
True,True,eins energie in sachsen GmbH & Co. KG,6.81%,https://www.eins.de/files/eins/content/dokumente/Privatkunden/Strom/eins_Stromkennzeichnung_2017.jpg,,Augustusburger Straße 1,9111,Chemnitz,https://www.eins.de,A,,,,,,,,,,
True,,Eisenacher Versorgungs-Betriebe GmbH,0.81%,https://www.evb-energy.de/documents/68334/195505/evb_Stromkennzeichnung_2018.pdf/d364e5af-7057-f5bb-3762-efe635cc72bf,,,,,,,,,,,,,,,,
True,True,Elektra-Genossenschaft Effeltrich eG,0.00%,https://elektra-effeltrich.de/endverbraucher/unser-strom/,,Hauptstr. 1,91090,Effeltrich,https://elektra-effeltrich.de/,A,,,,,,,,,,
True,,Elektra-Genossenschaft Pinzberg eG,0.00%,http://www.elektra-pinzberg.de/,FEHLER Website wird neu erstellt,,,,,,,,,,,,,,,
True,,Elektrizitäts-Genossenschaft Dirmstein eG,0.00%,https://www.egdirmstein.de/_Resources/Persistent/39bd247468188b2ee1b22bdad1f05bd684014aba/2017_Stromkennzeichnung_EGD.pdf,,,,,,,,,,,,,,,,
True,True,Elektrizitätsgenossenschaft Engelsberg e.G.,0.00%,https://www.eg-engelsberg.de/stromkennzeichnung,FEHLER Deutschland-Mix,Osnabrücker Straße 31a,49219,Glandorf,https://www.eg-engelsberg.de,A,,,,,,,,,,
True,,Elektrizitätsgenossenschaft Hasbergen eG,0.00%,https://www.eg-hasbergen.de/media/download/veroeffentlichungen/Stromkennzeichnung_2017.pdf,FEHLER mit EEG,,,,,,,,,,,,,,,
True,True,Elektrizitätsgenossenschaft Karlstein eG,100.00%,http://www.eg-karlstein.de/Veroffentlichungen/stromkennzeichnung2017.pdf,,Weitwiesenring 6,83435,Bad Reichenhall,https://www.eg-karlstein.de,R?,,,?,,,,,,,
True,,Elektrizitätsgenossenschaft Nordhalben und Umgebung eG,0.21%,http://www.eg-nordhalben.de/downloads/Strommix.pdf,,,,,,,,,,,,,,,,
True,,Elektrizitätsgenossenschaft Oesterweg eG,0.00%,http://www.eg-oesterweg.de/pdf/Stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,
True,True,Elektrizitätsgenossenschaft Ohlstadt eG,0.00%,http://ego-ohlstadt.de/Stromvertrieb/Stromkennzeichnung/stromkennzeichnung.html,nicht aktuell,Schwaigweg 7,82441,Ohlstadt,http://ego-ohlstadt.de,A,,,,,,,,,,
True,True,Elektrizitätsgenossenschaft Rettenberg eG,2.34%,http://www.eg-rettenberg.de/wp-content/uploads/2018/10/Stromkennzeichnung_EGR_Basisjahr_2017_.pdf,,Burgberger Str. 24,87549,Rettenberg,http://www.eg-rettenberg.de,B,,"Netzbetreiber, Strom der Kooperation AllgäuStrom",,,,,,,,
True,,Elektrizitäts-Genossenschaft Röthenbach eG,0.00%,http://www.eg-roethenbach.de/,nicht aktuell,,,,,,,,,,,,,,,
True,,Elektrizitäts-Genossenschaft Schlachters eG,100.00%,https://www.eg-schlachters.de/images/Dok71.pdf,,,,,,,,,,,,,,,,
True,,Elektrizitäts-Genossenschaft Schonstett eG,0.00%,http://www.eg-schonstett.de/index.php/content/view/19/34/,nicht aktuell,,,,,,,,,,,,,,,
True,True,Elektrizitäts-Genossenschaft Tacherting-Feichten e.G.,0.00%,https://egtf.de/strom/vertrieb.html,nicht aktuell,Stefan-Flötzl-Str. 4,83342,Tacherting,https://egtf.de,A,,,,,,,,,,
True,,Elektrizitätsgenossenschaft Unterneukirchen eG,0.00%,https://www.eg-unterneukirchen.de/index.php?id=26,FEHLER fehlerhafte Kennzeichnung,,,,,,,,,,,,,,,
True,True,Elektrizitäts-Genossenschaft Vogling & Angrenzer eG,0.00%,https://www.eva-siegsdorf.de/wordpress/?page_id=131,nicht aktuell,Höpfling 2,83313,Siegsdorf,https://www.eva-siegsdorf.de,A,,,,,,,,,,
True,True,Elektrizitäts-Genossenschaft Wolkersdorf und Umgebung eG,0.00%,https://www.eg-wolkersdorf.de/,nicht vorhanden,Schmidhamer Str. 26,83278,Traunstein-Wolkersdorf,https://www.eg-wolkersdorf.de/,A,,,,,,,,,,
True,,Elektrizitätsgesellschaft Levern eG,0.00%,http://www.eg-levern.de/desktopdefault.aspx/tabid-597.html,nicht aktuell,,,,,,,,,,,,,,,
True,True,Elektrizitäts- und Wasserversorgungsgenossenschaft Vagen eG,0.20%,https://www.ewg-vagen.de/pdf/180924_edg_informationsplficht_2018.pdf,FEHLER mit EEG,Lindenstraße 14,83620,Feldkirchen-Westerham,https://www.ewg-vagen.de/,A,,,,,,,,,,
True,True,Elektrizitätsvereinigung Böbing eG,3.40%,https://ev-boebing.de//htmls/stromkennzeichnung.htm,,Riedelweg 2,82389,Böbing,https://ev-boebing.de,A,,,,,,,,,,
True,True,Elektrizitätsversorgung (EVU) der Gemeinde Gochsheim,23.86%,https://evu.gochsheim.de/cms/front_content.php?idcat=44,,Am Plan 4-6,97469,Gochsheim,https://evu.gochsheim.de,A,,,,,,,,,,
True,,Elektrizitäts-VersorgungGenossenschaft Perlesreut eG,0.00%,http://www.evg-perlesreut.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,True,Elektrizitätsversorgung Rheinzabern,1.27%,http://www.evu-rheinzabern.de/downloads/Strommix.pdf,,Hauptstraße 33,76764,Rheinzabern,http://www.evu-rheinzabern.de,A,,,,,,,,,,
True,,Elektrizitätswerk Aach GmbH,0.00%,https://www.ew-aach.de/wir-ueber-uns/ew-aach-gmbh/publikationen/,nicht aktuell,,,,,,,,,,,,,,,
True,True,Elektrizitätswerk des Kantons Schaffhausen AG,52.87%,https://www.eks.ch/sites/default/files/2018-11/eks_stromkennzeichnung_2017_DE.pdf,,Rheinstr. 37,CH-8200 ,Schaffhausen,https://www.eks.ch,A,,,,,,,,,,
True,,Elektrizitätswerk Diessen Stadler GmbH,0.00%,http://www.ew-diessen.de/netz/,nicht aktuell,,,,,,,,,,,,,,,
True,True,Elektrizitätswerke Reutte GmbH & Co KG,100.00%,https://www.ewr-energie.com/service/downloads/#cat-7,,Lechhalde 1 1/2,87629,Füssen,https://www.ewr-energie.com,R?,,Erdgas Unternehmen,?,,,,X,x,,
True,True,Elektrizitätswerke Schönau Vertriebs GmbH,100.00%,https://www.ews-schoenau.de/export/sites/ews/ews/energiedienstleistungen/.files/stromkennzeichnung-oekostrom-2017.pdf,,Friedrichstraße 53/55,79677,Schönau/Schw.,https://www.ews-schoenau.de/,X,,,,,,,,,,
True,True,Elektrizitätswerk Gemeinde Glattbach,3.61%,https://www.glattbach.de/stromkennzeichnung-2018,,Im Wiesengrund 3,63864,Glattbach,https://www.glattbach.de,A,,,,,,,,,,
True,,Elektrizitätswerk Georg Grandl e.K.,23.40%,https://www.ew-grandl.de/veroeffentlichungen-nach-enwg-vertrieb/,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG,11.25%,https://www.ew-goldbach-hoesbach.de/downloads/formulare/20181029_EWG_Stromkennzeichnung_2017.pdf,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Haimmerer,0.00%,https://www.e-werk-haimmerer.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,True,Elektrizitätswerk Hammermühle Versorgungsgesellschaft mbH,29.09%,https://www.ewh.de/fileadmin/user_upload/PDF/RZ_EHV_Stromkennzeichen_2018_A4_Web.pdf,,Im Geisenborn 4,56242,Selters,https://www.ewh.de,A,,,,,,,,,,
True,,Elektrizitätswerk Hauenstein,0.00%,http://www.energie-hauenstein.de/werk/,nicht aktuell,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Heinrich Schirmer,0.00%,https://www.ew-schirmer.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,True,Elektrizitätswerk Hindelang eG,1.06%,https://www.ewhindelang.de/download/energiemix_basis2017_allg%C3%A4ustrom_partner_ewh_.pdf,,Weidachstrasse 9,87541,Bad Hindelang,https://www.ewhindelang.de,A,,,,,,,,,,
True,True,Elektrizitätswerk Kappelrodeck Gustav Ziegler KG,12.53%,http://s439195908.website-start.de/strom-vertrieb/stromtarife/stromkennzeichnung/,,Venedig 10,77876,Kappelrodeck,http://s439195908.website-start.de/,A,,,,,,,,,,
True,True,Elektrizitätswerk Karl Stengle GmbH & Co KG,100.00%,https://www.e-werk-stengle.de/cms/files/user-data/pdfs/Stromkennzeichnug_31102018_HP.pdf,,Niedere-Au-Straße 11,72108,Rottenburg a. N.,https://www.e-werk-stengle.de,R,,,?,,,,X,,,
True,,Elektrizitätswerk Landsberg GmbH,3.61%,https://www.ewlandsberg.de/media/7162/stromkennzeichnung_ewl.pdf,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Leitlein GmbH & Co. KG,0.00%,http://leitlein.com/w_strom.htm,nicht aktuell,,,,,,,,,,,,,,,
True,True,Elektrizitäts-Werk Mainbernheim GmbH,100.00%,http://www.ewerk-mainbernheim.de/index.php/stromkennzeichnung.html,,Am Wehrbach 1,97350,Mainbernheim,http://www.ewerk-mainbernheim.de,R?,,,?,,,,,RenewablePlus,,
True,,Elektrizitätswerk Markt Obernzell,0.00%,https://www.obernzell.de/index.php/rathaus/gemeindewerke,nicht aktuell,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Max Peißker,0.00%,http://max-peissker.de/,nicht vorhanden,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Mittelbaden AG & Co. KG,14.84%,https://webportal.e-werk-mittelbaden.de/csit/action/csShowProducts?fileID=d7e16ce0-a30f-11e5-a8d4-41b4ac1021e0%3Acb3ff16e%3AHBN&formReset.x=true,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Müller Tauberrettersheim,0.00%,http://www.mueller-muehle.de/html/energietrager-mix.html,nicht aktuell,,,,,,,,,,,,,,,
True,True,Elektrizitätswerk Oberwössen eG,0.21%,https://www.ew-oberwoessen.de/app/download/5784545174/Stromkennzeichnung_Oberw%C3%B6ssen_2017.pdf,,Dorfstraße 28,83246,Oberwössen,https://www.ew-oberwoessen.de/,?,,Internetseite funktioniert nicht,,,,,,,,
True,,Elektrizitätswerk Ottenhöfen Moser GmbH & Co. KG,0.00%,https://www.ew-ottenhoefen.de/stromtarife/,nicht aktuell,,,,,,,,,,,,,,,
True,True,Elektrizitäts-Werk Ottersberg,0.00%,https://www.ewerk-ottersberg.de/veroeffentlichungen,nicht aktuell,Grüne Straße 24,28870,Ottersberg,https://www.ewerk-ottersberg.de,?,,x,,,,,,,x,
True,True,Elektrizitätswerk Rieger GmbH & Co. KG,100.00%,http://www.ewr-rieger.de/stromkennzeichnung/,,Friedrichstrasse 16,72805,Lichtenstein,https://www.ewr-rieger.de,R?,,,?,,,,X,x,,
True,,Elektrizitätswerk Rohmund GmbH,8.28%,https://www.ew-rohmund.de/downloads/stromkennzeichnung-2017-ewr.pdf,,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Rosenmühle e.K.,0.00%,Elektrizitätswerk Rosenmühle e.K.,FEHLER keine Website,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Schweiger GmbH,0.42%,https://www.ew-schweiger.de/phocadownload/energiemix-website%202017.pdf,,,,,,,,,,,,,,,,
True,True,Elektrizitätswerk Tegernsee Vertriebs- und Service-KG,4.46%,https://ewerk-tegernsee.de/wp-content/uploads/2018/10/EWS-Strommix-2017-1.pdf,,Hochfeldstraße 3,83684,Tegernsee,https://ewerk-tegernsee.de,A,,,,,,,,,,
True,True,Elektrizitätswerk Wanfried von Scharfenberg KG,0.00%,https://www.ewwanfried.de/strom/produktinformationen/,nicht aktuell,Unter der Tränke 1,37281,Wanfried,https://www.ewwanfried.de,A,,,,,,,,,,
True,,Elektrizitätswerk Weißenhorn AG,0.00%,https://www.ewag-weissenhorn.de/gewerbe/download-center/,nicht aktuell,,,,,,,,,,,,,,,
True,,Elektrizitätswerk Wennenmühle Schörger KG,0.00%,https://www.wennenmuehle.de/energiemix.html,,,,,,,,,,,,,,,,
True,,Elektro-Trück GmbH,0.00%,Elektro-Trück GmbH,FEHLER keine Website,,,,,,,,,,,,,,,
True,,Elogico - Eine Marke der ENSTROGA AG,54.25%,https://www.elogico.de/unternehmen/stromkennzeichnung/,,,,,,,,,,,,,,,,
True,,em.serv GmbH,0.00%,http://www.emserv-gmbh.de/,nicht aktuell,,,,,,,,,,,,,,,
True,True,EMB Energie Mark Brandenburg GmbH,53.78%,https://www.emb-gmbh.de/Privatkunden/Strom/Seiten/default.aspx,,Großbeerenstraße 181 - 18,14482,Potsdam,https://www.emb-gmbh.de,A,,,,,,,,,,
True,True,EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG,0.00%,https://we-are-energy.de/strom/kennzeichnung/,nicht aktuell,Luitpoldstraße 17,63897,Miltenberg,https://we-are-energy.de,A,,,,,,,,,,
True,,Emil Energie GmbH,0.00%,https://www.emil-energie.de/wp-content/uploads/2012/08/Grafiken_Stromherkunft_EmilEnergie_2017_RZ.jpg,,,,,,,,,,,,,,,,
True,,EMMA Energie - eine Marke von TWL Energie Deutschland GmbH,0.21%,https://emma-energie.de/informationen/strommix,,,,,,,,,,,,,,,,
True,True,Emscher Lippe Energie GmbH,13.81%,https://www.ele.de/Privatkunden/strom-erdgas/strom-fuer-den-haushalt/stromkennzeichnung.html,,Ebertstr.30,45879,Gelsenkirchen,https://www.ele.de,A,,,,,,,,,x,
True,True,EnBW Energie Baden-Württemberg AG,7.01%,https://www.enbw.com/service/enbw-strommix,,Durlacher Allee 93,76131,Karlsruhe,https://www.enbw.com,A,,,,,,,,,,
True,True,EnBW Ostwürttemberg DonauRies Aktiengesellschaft ODR,3.64%,https://www.odr.de/privatkunden/service-kontakt/downloads/energietraegermix.html,,Unterer Brühl 2,73479,Ellwangen,https://www.enbw.com,A,,,,,,,,,,
